Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2022,12,03,22:35:18,38.7748,-122.7645,0.2,0.4,"1km WSW of The Geysers, CA",1670106918
2022,12,03,22:27:51,34.52,-118.9598,10.7,1.8,"14km NNW of Fillmore, CA",1670106471
2022,12,03,22:14:00,62.9029,-150.9087,89,1.1,"45 km N of Petersville, Alaska",1670105640
2022,12,03,22:05:38,33.8388,-116.771,16.2,1.5,"9km S of Cabazon, CA",1670105138
2022,12,03,21:58:08,65.1832,-145.3003,6,1.6,"49 km SSW of Central, Alaska",1670104688
2022,12,03,21:45:03,61.6002,-149.8318,57.5,1.3,"3 km SSW of Houston, Alaska",1670103903
2022,12,03,21:42:28,60.0188,-152.104,81.1,1.7,"22 km WNW of Happy Valley, Alaska",1670103748
2022,12,03,21:38:21,19.4308,-155.2558,0.4,1.8,"2 km WSW of Volcano, Hawaii",1670103501
2022,12,03,21:33:49,38.8345,-122.9058,2.4,0.9,"10km ENE of Cloverdale, CA",1670103229
2022,12,03,21:20:05,40.0533,118.9513,10,4.4,"42 km NNW of Changli, China",1670102405
2022,12,03,21:19:44,61.2458,-146.7484,17,1.6,"25 km WNW of Valdez, Alaska",1670102384
2022,12,03,21:19:20,19.1622,-155.4962,34.8,2.3,"4 km SSW of P?hala, Hawaii",1670102360
2022,12,03,21:15:28,60.2647,-152.092,74.8,1.5,"33 km NW of Ninilchik, Alaska",1670102128
2022,12,03,21:04:12,18.0867,-67.115,18.1,2.2,"unk",1670101452
2022,12,03,20:56:03,34.1743,-117.4178,7.2,1.2,"6km SSW of Devore, CA",1670100963
2022,12,03,20:31:30,17.9433,-66.9758,12.7,2.3,"7 km WSW of Guánica, Puerto Rico",1670099490
2022,12,03,20:17:33,17.9637,-66.9102,10.9,1.8,"0 km SSW of Guánica, Puerto Rico",1670098653
2022,12,03,20:17:33,17.9637,-66.9103,10.9,1.8,"0 km SSW of Guánica, Puerto Rico",1670098653
2022,12,03,20:13:29,60.259,-151.019,67.4,1.3,"16 km ESE of Kasilof, Alaska",1670098409
2022,12,03,20:06:42,38.5682,-122.2792,4.2,1.5,"15km E of Angwin, CA",1670098002
2022,12,03,20:02:01,63.0414,-150.6441,106.7,1.1,"61 km N of Petersville, Alaska",1670097721
2022,12,03,19:52:06,58.6493,-150.9108,32.9,2,"94 km SSE of Port Graham, Alaska",1670097126
2022,12,03,19:34:39,60.942,-147.7604,3.1,0.4,"unk",1670096079
2022,12,03,19:32:58,19.4088,-155.2388,2.3,3.1,"3 km S of Volcano, Hawaii",1670095978
2022,12,03,19:30:46,19.4127,-155.2392,2.2,1.8,"3 km S of Volcano, Hawaii",1670095846
2022,12,03,19:16:39,19.373,-155.3017,1.8,1.8,"10 km SW of Volcano, Hawaii",1670094999
2022,12,03,19:13:48,19.4705,-155.5988,-0.6,1.7,"27 km E of Honaunau-Napoopoo, Hawaii",1670094828
2022,12,03,19:11:04,38.8235,-122.808,2.6,0.4,"7km NW of The Geysers, CA",1670094664
2022,12,03,19:02:51,38.7967,-122.7373,1.4,0.7,"3km NE of The Geysers, CA",1670094171
2022,12,03,18:50:34,32.8902,-115.9222,10.8,1.1,"18km NNE of Ocotillo, CA",1670093434
2022,12,03,18:33:29,60.6568,-151.9269,51.9,1.3,"unk",1670092409
2022,12,03,18:29:56,41.1412,139.9785,161.1,4.1,"49 km NW of Shimokizukuri, Japan",1670092196
2022,12,03,18:22:30,57.4795,-154.7731,29.1,1.8,"21 km WSW of Karluk, Alaska",1670091750
2022,12,03,18:21:43,19.4477,-155.6113,-0.4,1.8,"26 km E of Honaunau-Napoopoo, Hawaii",1670091703
2022,12,03,18:06:31,60.4628,-152.2711,80.3,1.3,"54 km W of Cohoe, Alaska",1670090791
2022,12,03,17:55:28,38.8075,-122.7537,0.9,0.8,"3km WSW of Cobb, CA",1670090128
2022,12,03,17:46:25,61.403,-147.3371,22.7,2.4,"48 km SSE of Glacier View, Alaska",1670089585
2022,12,03,17:42:13,60.2281,-145.8757,15,1.6,"35 km S of Cordova, Alaska",1670089333
2022,12,03,17:41:16,60.2933,-145.8741,17.1,1.5,"Southern Alaska",1670089276
2022,12,03,17:38:26,62.9606,-149.328,68.1,1.7,"51 km SSW of Cantwell, Alaska",1670089106
2022,12,03,17:26:46,31.6143,-104.5294,6.2,3.3,"63 km SSW of Whites City, New Mexico",1670088406
2022,12,03,17:13:37,59.7445,-146.5102,26.3,1.6,"91 km ESE of Chenega, Alaska",1670087617
2022,12,03,17:11:52,33.3842,-116.8758,5.4,1.2,"3km NNW of Palomar Observatory, CA",1670087512
2022,12,03,17:05:13,61.6814,-147.6552,32.8,1,"14 km S of Glacier View, Alaska",1670087113
2022,12,03,17:05:08,38.8088,-122.7975,2.7,1.1,"5km NW of The Geysers, CA",1670087108
2022,12,03,17:04:09,-23.336,-179.855,526.5,4.4,"south of the Fiji Islands",1670087049
2022,12,03,16:45:46,19.4048,-155.2702,1.3,2.2,"5 km SW of Volcano, Hawaii",1670085946
2022,12,03,16:43:20,19.4005,-155.2708,0.8,2.2,"6 km SW of Volcano, Hawaii",1670085800
2022,12,03,16:32:02,61.5105,-147.9672,9.8,1.1,"37 km SSW of Glacier View, Alaska",1670085122
2022,12,03,16:29:58,31.6097,-103.9626,7.8,3.2,"western Texas",1670084998
2022,12,03,16:26:13,38.8267,-122.8113,1.2,1.2,"7km NW of The Geysers, CA",1670084773
2022,12,03,16:24:54,35.6747,-117.514,9.3,1,"14km SW of Searles Valley, CA",1670084694
2022,12,03,16:17:37,33.9995,-116.8175,20.6,1.4,"10km NNW of Cabazon, CA",1670084257
2022,12,03,16:13:45,18.0205,-66.7753,15.2,2.3,"Puerto Rico region",1670084025
2022,12,03,16:12:18,19.3988,-155.2688,0.7,1.9,"6 km SW of Volcano, Hawaii",1670083938
2022,12,03,15:57:13,19.2107,-155.39,29.9,2.7,"9 km E of P?hala, Hawaii",1670083033
2022,12,03,15:54:16,33.8333,-117.902,0.4,1.3,"1km WSW of Anaheim, CA",1670082856
2022,12,03,15:52:18,38.7743,-122.7125,2,1,"2km W of Anderson Springs, CA",1670082738
2022,12,03,15:51:28,60.4594,-147.342,16.8,1.5,"57 km NE of Chenega, Alaska",1670082688
2022,12,03,15:49:26,19.148,-155.3693,27.5,2.2,"13 km ESE of P?hala, Hawaii",1670082566
2022,12,03,15:37:53,61.2339,-147.3702,4.1,1.2,"55 km NW of Tatitlek, Alaska",1670081873
2022,12,03,15:31:21,17.9957,-66.6322,19.1,2.2,"unk",1670081481
2022,12,03,15:29:50,33.9142,-116.8852,15.7,1.1,"2km SSW of Banning, CA",1670081390
2022,12,03,15:04:24,33.9717,-116.7373,16.4,0.7,"8km NE of Cabazon, CA",1670079864
2022,12,03,14:59:00,38.8328,-122.8153,1.7,0.8,"8km NW of The Geysers, CA",1670079540
2022,12,03,14:52:05,-17.5386,-178.522,552.6,4.3,"Fiji region",1670079125
2022,12,03,14:49:05,18.2263,-66.891,19,2.1,"7 km S of Lares, Puerto Rico",1670078945
2022,12,03,14:47:05,60.6829,-150.3668,48.7,2,"27 km NE of Sterling, Alaska",1670078825
2022,12,03,14:38:04,19.1792,-155.4758,33.7,1.9,"2 km S of P?hala, Hawaii",1670078284
2022,12,03,14:15:24,38.8023,-122.7793,2.5,0.3,"3km NW of The Geysers, CA",1670076924
2022,12,03,14:13:14,34.1523,-117.5723,9.5,1.5,"3km NNE of Rancho Cucamonga, CA",1670076794
2022,12,03,14:06:21,38.8342,-122.8198,2.5,0.3,"8km NW of The Geysers, CA",1670076381
2022,12,03,14:03:53,33.2183,-116.7462,10.9,0.9,"3km SSE of Lake Henshaw, CA",1670076233
2022,12,03,14:01:52,61.1501,-147.3745,18.7,0.9,"Southern Alaska",1670076112
2022,12,03,13:52:34,17.9462,-66.8117,13,2.3,"5 km S of Indios, Puerto Rico",1670075554
2022,12,03,13:41:11,19.4812,-155.5863,0.2,1.7,"29 km E of Honaunau-Napoopoo, Hawaii",1670074871
2022,12,03,13:32:47,19.0403,-155.4093,33.9,2.7,"18 km E of Naalehu, Hawaii",1670074367
2022,12,03,13:28:17,59.8935,-149.9233,27,1.6,"Kenai Peninsula, Alaska",1670074097
2022,12,03,13:24:34,58.2297,-155.1222,0.3,0.9,"Alaska Peninsula",1670073874
